# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8531
#@/user_id	win10-olymk
a 	啊	c=119 d=2.01088 t=8531
liang tai 	兩臺	c=1 d=1 t=6179
liang tian 	兩天	c=1 d=1 t=4159
liang tiao 	兩條	c=1 d=1 t=6773
liang wei 	兩位	c=1 d=1 t=5076
liang xin 	良心	c=1 d=1 t=5822
liao 	聊	c=0 d=0.1 t=3637
liao bu qi lai 	聊不起來	c=1 d=1 t=3638
liao jie 	瞭解	c=3 d=1 t=4502
lie 	列	c=1 d=1 t=1492
lie chu 	列出	c=1 d=1 t=6820
lie ren 	獵人	c=1 d=1 t=7623
lin 	琳	c=5 d=1.00018 t=6518
ling 	另	c=1 d=1 t=1765
ling 	玲	c=4 d=1.00003 t=7500
ling 	零	c=1 d=1 t=2327
ling 	齡	c=1 d=1 t=5007
ling dao 	領導	c=1 d=1 t=2657
ling hun 	靈魂	c=1 d=1 t=783
ling qu 	領取	c=4 d=0.916793 t=5211
ling qu le 	領取了	c=1 d=1 t=5212
ling wai 	另外	c=3 d=0.014808 t=8531
ling wai yi ge 	另外一個	c=1 d=0.148823 t=8531
ling xian 	領先	c=1 d=1 t=5736
ling yi zhong 	另一種	c=1 d=1 t=7501
liu 	六	c=1 d=1 t=8029
liu liang 	流量	c=1 d=1 t=1858
liu liu qiu 	溜溜球	c=1 d=1 t=894
liu shui xian 	流水線	c=1 d=1 t=4746
lo 	咯	c=6 d=1.06353 t=8531
long wang 	龍王	c=1 d=1.02774 t=5202
long wang miao 	龍王廟	c=1 d=1 t=5203
lou dong 	漏洞	c=6 d=1.05165 t=5549
lou le 	漏了	c=1 d=1 t=4231
lu 	擼	c=0 d=0.1 t=735
lu 	路	c=1 d=1.1 t=2387
lu guo 	路過	c=0 d=0.1 t=943
lu jing 	路徑	c=3 d=1.69273 t=2034
lu wei 	盧煒	c=11 d=1.85684 t=4082
lu wei 	蘆葦	c=1 d=1 t=590
lu zhi 	錄製	c=1 d=1 t=5515
luan 	亂	c=1 d=1 t=3680
luan ma 	亂碼	c=3 d=2.53933 t=564
lun de zhao 	輪得着	c=1 d=1 t=1195
luo 	羅	c=0 d=0.1 t=2717
luo ji 	邏輯	c=0 d=0.1 t=6586
luo ji shang 	邏輯上	c=1 d=1 t=6587
lv se 	綠色	c=1 d=1 t=1334
ma 	嗎	c=115 d=4.03002 t=8531
ma 	碼	c=2 d=0.198478 t=7860
ma dai 	麻袋	c=0 d=0.1 t=1355
ma dan 	馬但	c=1 d=1 t=6008
ma de 	媽的	c=2 d=1 t=6139
ma fan 	麻煩	c=8 d=1.84729 t=5527
ma le 	罵了	c=0 d=0.1 t=6262
ma le ge bi 	罵了隔壁	c=1 d=1 t=6263
mai 	買	c=6 d=1.37934 t=7353
mai 	賣	c=1 d=1 t=3542
mai jia 	買家	c=2 d=1.88692 t=1494
man 	慢	c=3 d=1 t=8419
man dian 	慢點	c=2 d=1.99501 t=4197
man man 	慢慢	c=1 d=1 t=1168
mang 	忙	c=1 d=1 t=1302
mao bing 	毛病	c=0 d=0.1 t=1263
mao si 	貌似	c=3 d=1.02375 t=6208
me 	麼	c=1 d=1 t=6998
me de 	麼的	c=1 d=1 t=3158
me kan dao 	麼看到	c=1 d=1 t=3578
mei 	沒	c=26 d=3.47413 t=8391
mei bi yao 	沒必要	c=2 d=1.99501 t=5644
mei ce 	沒測	c=1 d=1 t=4300
mei ci 	每次	c=4 d=1.00031 t=5562
mei cuo 	沒錯	c=1 d=1 t=1760
mei da 	沒打	c=1 d=1 t=6112
mei dao 	每到	c=1 d=1 t=3088
mei dao 	沒到	c=1 d=1 t=3089
mei de 	沒得	c=2 d=1.1159 t=6134
mei dian 	沒電	c=2 d=1.00001 t=5760
mei gai le 	沒改了	c=1 d=1 t=3033
mei ge 	每個	c=1 d=1 t=4371
mei guan xi 	沒關係	c=1 d=1 t=4956
mei guo 	美國	c=1 d=1 t=5684
mei ji lu 	沒記錄	c=1 d=1 t=4059
mei jiu 	沒救	c=0 d=0.1 t=793
mei jiu le 	沒救了	c=1 d=1 t=794
mei kan 	沒看	c=1 d=1 t=3626
mei kan guo 	沒看過	c=1 d=1 t=7035
mei kong 	沒空	c=1 d=1 t=3963
mei le 	沒了	c=3 d=1.04138 t=7965
mei mao bing 	沒毛病	c=1 d=1 t=1264
mei qi lai 	沒起來	c=1 d=1 t=8498
mei qu 	沒去	c=1 d=1 t=8373
mei quan xian 	沒權限	c=1 d=1 t=6042
mei ren 	沒人	c=1 d=1 t=8386
mei sha 	沒啥	c=1 d=1.02039 t=3839
mei sha yi si 	沒啥意思	c=1 d=1 t=7054
mei sha yong 	沒啥用	c=1 d=1 t=3522
mei she me 	沒什麼	c=1 d=1 t=7695
mei shen me 	沒什麼	c=1 d=1 t=3369
mei shi 	沒事	c=1 d=1 t=8448
mei shu ju 	沒數據	c=2 d=1.99005 t=6737
mei shuo 	沒說	c=1 d=1 t=2567
mei ting guo 	沒聽過	c=1 d=1 t=3138
mei xi 	沒戲	c=2 d=1.77105 t=5743
mei yi si 	沒意思	c=1 d=1 t=5906
mei ying xiang 	沒影響	c=1 d=1 t=2313
mei yo 	沒喲	c=1 d=1 t=3050
mei yong 	沒用	c=3 d=1.00054 t=7470
mei you 	沒有	c=58 d=1.05697 t=8531
mei you yi zhi 	沒有一直	c=1 d=0.574072 t=8531
mei yu 	梅雨	c=0 d=0.1 t=1449
mei yu ou 	梅雨偶	c=1 d=1 t=1450
mei zi 	妹子	c=5 d=1 t=8514
men 	們	c=6 d=1.00773 t=7148
meng 	夢	c=2 d=1.00459 t=2556
meng li 	夢裏	c=1 d=1 t=1032
mi 	冪	c=1 d=1 t=4544
mi han shu 	冪函數	c=1 d=1 t=911
mi ma 	密碼	c=11 d=1.04074 t=6167
mi yue 	密鑰	c=2 d=1.75201 t=4764
mian 	麪	c=2 d=1.00074 t=7572
mian shi 	面試	c=1 d=1 t=4596
miao 	妙	c=1 d=1 t=6862
miao 	廟	c=0 d=0.1 t=5202
mie yong 	咩用	c=1 d=1 t=2646
mie you 	咩有	c=3 d=1.00603 t=6214
min gan 	敏感	c=6 d=2.30794 t=4766
ming 	名	c=0 d=0.110593 t=1463
ming ling 	命令	c=6 d=1.86588 t=8505
ming mai 	命脈	c=1 d=1 t=5733
ming ming 	明明	c=1 d=1 t=741
ming ming bai bai 	明明白白	c=0 d=0.1 t=1034
ming ming bai bai de 	明明白白的	c=1 d=1 t=1035
ming nian 	明年	c=3 d=1.97012 t=4739
ming tian 	明天	c=3 d=1.95123 t=4960
ming wen 	明文	c=3 d=2.47805 t=4763
ming xian 	明顯	c=1 d=1 t=1887
ming zhu 	明珠	c=1 d=1 t=1553
ming zi 	名字	c=1 d=1 t=6565
mo ban 	模板	c=1 d=1 t=5134
mo hu 	模糊	c=1 d=0.927743 t=8531
mo hu 	糢糊	c=0 d=0.0909373 t=8531
mo hu ying 	糢糊應	c=1 d=0.913931 t=8531
mo ni 	模擬	c=1 d=1 t=1549
mo pa gun da 	摸爬滾打	c=1 d=1 t=5812
mo ren 	默認	c=4 d=2.78273 t=3063
mo tan 	默嘆	c=1 d=1 t=2322
mo zhao 	摸着	c=1 d=1 t=5819
mou ge 	某個	c=2 d=1.00001 t=6702
mu biao 	目標	c=1 d=0.56836 t=8531
mu di 	目的	c=1 d=1 t=3910
mu lu 	目錄	c=2 d=1.86936 t=7267
mu ne 	木訥	c=1 d=1 t=1507
mu qian 	目前	c=4 d=0.404542 t=8531
mu you 	木有	c=3 d=1.22565 t=8508
na 	哪	c=1 d=1 t=1193
na 	那	c=67 d=2.79643 t=8449
na bian 	那邊	c=2 d=1 t=4315
na bu 	哪部	c=0 d=0.1 t=1534
na bu fen 	哪部分	c=1 d=1 t=1535
na bu shi 	那不是	c=2 d=1.01897 t=1354
na dei 	那得	c=1 d=1 t=7743
na fa 	拿發	c=1 d=1 t=5300
na ge 	哪個	c=11 d=0.980199 t=8531
na ge 	那個	c=6 d=1.20203 t=8310
na jiu 	那就	c=3 d=0.0145148 t=8531
na jiu ke yi 	那就可以	c=1 d=0.145876 t=8531
na jiu shi 	那就是	c=4 d=1 t=6041
na lai 	哪來	c=1 d=1 t=1076
na li 	哪裏	c=4 d=1 t=6402
na me 	那麼	c=1 d=1 t=4536
na me duo 	那麼多	c=2 d=1.92774 t=1092
na ni 	納尼	c=1 d=1 t=2364
na sha 	那啥	c=1 d=1 t=5692
na shi 	那是	c=1 d=1 t=526
na shi 	那時	c=2 d=1 t=6393
na tai 	哪臺	c=0 d=0.1 t=1956
na tai ji 	哪臺雞	c=1 d=1 t=1957
na tian 	哪天	c=1 d=1 t=2206
na wei 	哪位	c=1 d=1 t=718
na wo 	那我	c=3 d=1.92313 t=5302
na xia lai 	拿下來	c=2 d=1.96561 t=6491
na xie 	哪些	c=5 d=1.00284 t=6063
na yi 	哪一	c=0 d=0.1 t=4438
na yi bu 	哪一步	c=1 d=1 t=4439
na zhong 	那種	c=7 d=1 t=8368
nai wan 	萘丸	c=1 d=1 t=8394
nan 	南	c=1 d=1 t=8026
nan 	男	c=1 d=0.347833 t=3409
nan dao 	難道	c=1 d=1 t=2440
nan de 	男的	c=1 d=1 t=3561
nan dian 	難點	c=1 d=0.304221 t=8531
nan gao 	難搞	c=1 d=1 t=3886
nan guo 	難過	c=2 d=1.96561 t=775
nan hang 	南航	c=2 d=1.04689 t=4916
nan ren 	男人	c=1 d=1 t=803
nan shou 	難受	c=1 d=0.554327 t=8531
nan ti 	難題	c=0 d=0.0778801 t=8531
ne 	呢	c=17 d=1.09282 t=8465
ne ge 	呢個	c=0 d=0.1 t=5911
nei 	內	c=1 d=1 t=7201
nei bu 	內部	c=2 d=1.00042 t=3037
nei cun 	內存	c=1 d=1 t=7748
nei wang 	內網	c=1 d=1 t=7494
neng 	能	c=17 d=1.06556 t=8181
neng bu neng 	能不能	c=5 d=1.00489 t=7483
neng gou 	能夠	c=3 d=1 t=8099
neng li 	能力	c=2 d=1.52693 t=8531
neng shuo 	能說	c=1 d=1 t=7443
ni 	你	c=127 d=3.30685 t=8531
ni feng le 	你瘋了	c=1 d=1 t=3564
ni hao 	你好	c=4 d=1.27253 t=4679
ni mei 	泥煤	c=1 d=1 t=8158
ni men 	你們	c=4 d=1.00702 t=3631
ni ne ge 	你呢個	c=1 d=1 t=5912
ni neng 	你能	c=1 d=1 t=1121
ni shi 	你是	c=0 d=0.1 t=558
ni shi shuo 	你是說	c=1 d=1 t=559
ni wen 	你問	c=1 d=1 t=2597
ni xie dao 	你寫到	c=1 d=1 t=4888
ni you 	你又	c=1 d=1 t=867
nian 	年	c=2 d=1 t=8019
nian qing ren 	年輕人	c=1 d=1 t=1030
nian xin 	年薪	c=1 d=1 t=8005
nin 	您	c=2 d=1.77492 t=4965
nin hao 	您好	c=2 d=1 t=7582
niu 	牛	c=1 d=1 t=555
niu bi 	牛逼	c=3 d=1.00002 t=7453
niu pi 	牛皮	c=5 d=1.70889 t=7915
niu tou 	牛頭	c=3 d=1.00375 t=1281
niu tou ren 	牛頭人	c=1 d=1 t=1282
nong hao 	弄好	c=2 d=1 t=4312
nong hao le 	弄好了	c=1 d=1 t=1260
nong xia 	弄下	c=1 d=1 t=4691
nong yao 	農藥	c=1 d=1 t=1069
nu li 	努力	c=2 d=1.97531 t=3720
nuan chuang 	暖牀	c=1 d=1 t=967
nv de 	女的	c=1 d=1 t=3562
nv peng you 	女朋友	c=2 d=1.96079 t=2553
nv sheng 	女生	c=0 d=0.1 t=3554
nv sheng le 	女生了	c=1 d=1 t=3555
o 	哦	c=12 d=0.625002 t=8531
o o 	哦哦	c=1 d=1 t=6791
ou 	偶	c=0 d=0.1 t=1449
ou ke 	歐克	c=1 d=1 t=4821
pa 	怕	c=2 d=1 t=8377
pa sha 	怕啥	c=1 d=1 t=938
pa shen me 	怕什麼	c=1 d=1 t=976
pa shi 	怕是	c=1 d=1 t=6390
pai cha 	排查	c=15 d=1.72846 t=7407
pai zhao 	拍照	c=1 d=1 t=7867
pan 	盤	c=2 d=1.09005 t=6374
pan duan 	判斷	c=5 d=3.7073 t=3052
pang bian 	旁邊	c=1 d=1 t=5216
pao 	跑	c=2 d=1.02282 t=7858
pao chu 	拋出	c=1 d=1 t=6933
pao lu 	跑路	c=1 d=1 t=6317
pao mo 	泡沫	c=1 d=1 t=5714
pei 	陪	c=1 d=1 t=8193
pei bu shang 	配不上	c=1 d=1 t=3161
pei de 	配的	c=0 d=0.1 t=3163
pei de shang 	配的上	c=1 d=1 t=3164
pei he 	配合	c=1 d=1 t=4923
pei zhi 	配置	c=16 d=3.94542 t=8188
pei zhi 	配製	c=5 d=0.923116 t=8531
pen 	噴	c=2 d=1.96561 t=3582
pi jiu 	啤酒	c=3 d=1.07719 t=1212
pi lao 	疲勞	c=1 d=0.690734 t=8531
pi shi 	屁事	c=1 d=1 t=1078
pian 	片	c=1 d=1 t=5839
pian yi 	便宜	c=1 d=1 t=6078
piao 	票	c=3 d=2.88839 t=6023
pin da 	品達	c=1 d=1 t=2619
ping 	屏	c=1 d=0.466045 t=3856
ping bi 	屏蔽	c=4 d=1.09101 t=8110
ping gu 	評估	c=1 d=1 t=4728
ping ju 	憑據	c=4 d=3.94062 t=3931
ping jun 	平均	c=1 d=1 t=6383
ping mu 	屏幕	c=1 d=1 t=3899
ping sha 	憑啥	c=2 d=1.51171 t=3529
ping shen 	評審	c=6 d=0.969358 t=8436
ping tai 	平臺	c=1 d=1 t=7413
ping tan 	平攤	c=1 d=1 t=1322
ping zheng 	憑證	c=1 d=1 t=3791
po jie 	破解	c=2 d=1.76721 t=6308
po jie ban 	破解版	c=1 d=1 t=1333
qi 	器	c=0 d=0.1 t=542
qi 	期	c=1 d=1 t=5769
qi 	氣	c=3 d=1.00006 t=7929
qi bu lai 	起不來	c=2 d=1.0124 t=4847
qi bu qi 	氣不氣	c=1 d=1 t=3404
qi che 	汽車	c=1 d=1 t=5693
qi dong 	啓動	c=6 d=1.00002 t=8506
qi dong le 	啓動了	c=2 d=1.9802 t=4852
qi pian 	欺騙	c=1 d=1 t=7449
qi shi 	其實	c=2 d=0.222017 t=8531
qi ta 	其他	c=21 d=2.07341 t=8531
qi ta ren 	其他人	c=1 d=1 t=4996
qi yong 	啓用	c=1 d=1 t=7231
qi zuo yong 	起作用	c=1 d=1 t=6299
qian 	前	c=1 d=1 t=4158
qian 	簽	c=1 d=1 t=6525
qian 	錢	c=2 d=1.92312 t=5678
qian ceng 	千層	c=0 d=0.1 t=1205
qian ceng bing 	千層餅	c=1 d=1 t=1206
qian duan 	前端	c=5 d=1.19113 t=6916
qian kun 	乾坤	c=2 d=1.65377 t=6511
qian she 	牽涉	c=1 d=1 t=3002
qian ti 	前提	c=1 d=1 t=1794
qian xu 	謙虛	c=1 d=1 t=1202
qian yi 	遷移	c=3 d=1 t=7320
qiang 	強	c=5 d=1 t=7077
qiang 	搶	c=2 d=1.48191 t=6159
qiang piao 	強票	c=1 d=1 t=6004
qiang zhe 	強者	c=1 d=0.1 t=7159
qiang zhe ru si 	強者如斯	c=1 d=1 t=7160
qiao bi 	峭壁	c=0 d=0.1 t=2717
qiao bi luo 	峭壁羅	c=1 d=1 t=2718
qin 	親	c=3 d=1 t=4623
qin ce 	親測	c=1 d=1 t=5509
qing 	慶	c=1 d=1 t=5006
qing 	請	c=2 d=1.01522 t=5003
qing chu 	清除	c=1 d=1 t=5360
qing gan 	情感	c=1 d=1 t=3520
qing jia 	請假	c=1 d=1 t=4979
qing kuang 	情況	c=10 d=1.09042 t=7996
qing le 	清了	c=1 d=1 t=1670
qing li 	清理	c=3 d=1.88692 t=7068
qing qiu 	請求	c=5 d=1.08486 t=5497
qing shi 	情史	c=1 d=1 t=3448
qing wen 	請問	c=3 d=1.07595 t=5445
qing wen xia 	請問下	c=1 d=1 t=4654
qiu 	球	c=1 d=1 t=5838
qiu dou ma dai 	球都麻袋	c=1 d=1 t=1356
qu 	去	c=10 d=0.48871 t=8531
qu 	取	c=2 d=1.62189 t=3820
qu bie 	區別	c=1 d=1 t=1003
qu dao 	渠道	c=2 d=1 t=6957
qu diao 	去掉	c=1 d=1 t=2889
qu fan 	去反	c=1 d=1 t=843
qu fen 	區分	c=1 d=1 t=3040
qu kan 	去看	c=0 d=0.1 t=2389
qu kan kan 	去看看	c=1 d=1 t=2390
qu ku cun 	去庫存	c=1 d=1 t=5709
qu le 	去了	c=1 d=1 t=1021
qu xian 	曲線	c=1 d=0.214381 t=8531
qu xiao 	取消	c=1 d=1 t=7111
quan 	全	c=1 d=0.181337 t=1132
quan 	券	c=3 d=2.04296 t=8249
quan bu 	全部	c=1 d=1 t=4940
quan li 	權利	c=1 d=1 t=5613
quan shi 	全是	c=1 d=1 t=4360
quan shi yong 	全適用	c=1 d=1 t=1133
quan ta ma 	全他媽	c=1 d=1 t=679
quan xian 	權限	c=5 d=1.00178 t=7334
quan zu 	勸阻	c=0 d=0.1 t=7541
que ai 	卻愛	c=1 d=1 t=3359
que dian 	缺點	c=1 d=0.172907 t=8531
que ding 	確定	c=2 d=1.003 t=2689
que ren 	確認	c=6 d=1.26525 t=5323
que shao 	缺少	c=1 d=1 t=6879
que shi 	確實	c=6 d=1.6005 t=6898
que shi 	缺失	c=5 d=2.49858 t=7389
qun 	羣	c=6 d=3.71104 t=7658
qun li 	羣裏	c=5 d=1.00001 t=6671
ran er 	然而	c=2 d=1.98511 t=2201
ran hou 	然後	c=19 d=0.640824 t=8531
rang ren 	讓人	c=2 d=0.23457 t=8531
rang wo 	讓我	c=1 d=1 t=4311
re 	熱	c=1 d=1 t=6141
re de 	惹得	c=1 d=1 t=6140
re nao 	熱鬧	c=1 d=1 t=7162
ren 	人	c=15 d=2.71014 t=8531
ren jia 	人家	c=1 d=1 t=5774
ren lei 	人類	c=1 d=1 t=2404
ren sheng 	人生	c=1 d=1 t=7047
ren shu 	人數	c=2 d=1.98511 t=1808
ren wu 	任務	c=2 d=1.00002 t=7305
ren yuan 	人員	c=1 d=1 t=8411
ri 	日	c=1 d=1 t=1812
ri bao 	日報	c=1 d=1 t=568
ri le 	日了	c=1 d=1 t=8138
ri qi 	日期	c=2 d=1 t=6731
ri zhi 	日誌	c=35 d=1.00561 t=8442
ri zhi wen jian 	日志文件	c=1 d=1 t=6429
ri zi 	日子	c=2 d=1.39455 t=687
rong 	容	c=1 d=1 t=7202
rong yao 	榮耀	c=0 d=0.1 t=808
rong yi 	容易	c=3 d=1.67826 t=8531
ru guo 	如果	c=26 d=0.563355 t=8531
ru he 	如何	c=1 d=1 t=1378
ru men 	入門	c=2 d=0.484284 t=8531
ru si 	如斯	c=0 d=0.1 t=7159
ru tu 	如圖	c=1 d=1 t=4554
ru xia 	如下	c=3 d=1.97045 t=4456
ru xia tu 	如下圖	c=1 d=1 t=1797
ruan jian 	軟件	c=8 d=0.631009 t=8531
ruan kao 	軟考	c=1 d=1 t=5960
ruo zhe 	弱者	c=1 d=1 t=1056
san 	三	c=1 d=1 t=5225
san bai duo 	三百多	c=1 d=1 t=4681
san ge 	三個	c=1 d=1 t=6498
san shi sui 	三十歲	c=1 d=1 t=795
san tai 	三臺	c=1 d=1 t=4938
sha 	啥	c=25 d=2.18278 t=8486
sha bi 	傻逼	c=2 d=1.93707 t=7642
sha bi yi yang 	傻逼一樣	c=1 d=1 t=3560
sha diao 	沙雕	c=2 d=1 t=7482
sha dou 	啥都	c=1 d=1 t=3526
sha dou you 	啥都有	c=1 d=1 t=1033
sha shi hou 	啥時候	c=1 d=1 t=3647
sha wen ti 	啥問題	c=1 d=1 t=2492
sha yi si 	啥意思	c=1 d=1.05434 t=7175
sha yong 	啥用	c=1 d=1 t=3838
sha yuan li 	啥原理	c=1 d=1 t=558
shan 	刪	c=1 d=1 t=8215
shan chu 	刪除	c=7 d=1.98876 t=8232
shang 	上	c=15 d=1.04854 t=8313
shang bu qu 	上不去	c=1 d=1 t=2245
shang cheng 	商城	c=17 d=2.23806 t=5265
shang chu li 	上處理	c=1 d=1 t=2842
shang ci 	上次	c=2 d=1 t=7670
shang de 	上的	c=1 d=1 t=2710
shang ding 	商定	c=1 d=1 t=4943
shang jia 	商家	c=4 d=2.95113 t=1697
shang lai 	上來	c=1 d=1 t=3768
shang mian 	上面	c=4 d=0.138069 t=8531
shang pin 	商品	c=10 d=1.00992 t=6610
shang qu 	上去	c=1 d=1 t=7484
shang tao 	商討	c=0 d=0.1 t=1486
shang tao xia 	商討下	c=1 d=1 t=1487
shang wu 	上午	c=1 d=0.429557 t=8531
shang xian 	上線	c=10 d=1.00197 t=6849
shang xian wan 	上線完	c=1 d=1 t=4975
shang xin 	傷心	c=1 d=1 t=3398
shang ye hua 	商業化	c=1 d=0.242926 t=8531
shang zhang 	上漲	c=1 d=1 t=7359
shang zheng 	上證	c=0 d=0.1 t=5992
shang zheng zong zhi 	上證綜指	c=1 d=1 t=5993
shang zhou 	上週	c=1 d=1.0802 t=2087
shang zhou wu 	上週無	c=1 d=1 t=2088
shao 	少	c=0 d=0.1 t=1466
shao deng 	稍等	c=7 d=1.00005 t=8445
shao deng xia 	少等下	c=1 d=1 t=1467
she 	射	c=1 d=1 t=1277
she 	蛇	c=1 d=1 t=3145
she dang 	社黨	c=1 d=0.319819 t=8531
she ding 	設定	c=1 d=0.123687 t=8531
she ji 	涉及	c=2 d=1.08848 t=5246
she ji 	設計	c=1 d=1 t=4760
she me 	什麼	c=0 d=0.1 t=7694
she pi 	蛇皮	c=0 d=0.1 t=2141
she tu 	蛇圖	c=1 d=1 t=5547
shen fen 	身份	c=1 d=1 t=6942
shen he 	審覈	c=1 d=1 t=5432
shen le 	神了	c=1 d=1 t=761
shen me 	什麼	c=21 d=1.93492 t=7452
shen me shi hou 	什麼時候	c=1 d=1 t=848
shen ru 	深入	c=0 d=0.1 t=7751
shen ru li jie 	深入理解	c=1 d=1 t=7752
shen zhi 	甚至	c=1 d=1 t=6345
shen zi 	身子	c=1 d=1 t=5072
sheng 	盛	c=1 d=1 t=4287
sheng chan 	生產	c=18 d=1.39747 t=8314
sheng cheng 	生成	c=3 d=1.13199 t=7366
sheng huo 	生活	c=2 d=1.64404 t=7167
sheng ji 	升級	c=1 d=1 t=2538
sheng xia 	剩下	c=1 d=1 t=4856
sheng yu 	剩餘	c=1 d=1 t=8414
sheng yu 	聲譽	c=1 d=1 t=3463
sheng zi 	生子	c=0 d=0.1 t=3393
shi 	事	c=1 d=1 t=6040
shi 	是	c=209 d=5.5741 t=8531
shi 	試	c=3 d=1.27665 t=8199
shi bai 	失敗	c=3 d=1.00025 t=7107
shi bu chi 	是不吃	c=1 d=1 t=8224
shi bu shi 	是不是	c=15 d=1.5835 t=7977
shi chui 	石鎚	c=1 d=1 t=1283
shi dang 	適當	c=3 d=0.848714 t=8531
shi de 	使得	c=2 d=0.701832 t=8531
shi de 	是的	c=10 d=1.52201 t=8316
shi fou 	是否	c=9 d=1.45763 t=5048
shi gu 	事故	c=1 d=1 t=1911
shi guo 	試過	c=1 d=1 t=8303
shi hou 	時候	c=9 d=1.36979 t=8531
shi hou fa bu 	時候發佈	c=1 d=1 t=4807
shi hua 	實話	c=1 d=1 t=3547
shi ji 	實際	c=6 d=1.08416 t=7780
shi ji 	時機	c=1 d=1 t=5828
shi ji shang 	實際上	c=1 d=1 t=7775
shi jian 	時間	c=25 d=0.432207 t=8531
shi li 	視力	c=1 d=1 t=3869
shi ma 	是嗎	c=3 d=2.48613 t=4543
shi pin 	視頻	c=1 d=0.0444858 t=8531
shi qing 	事情	c=6 d=1.88695 t=8531
shi qu 	失去	c=1 d=1 t=5609
shi sha 	是啥	c=2 d=1 t=7680
shi shen me 	是什麼	c=1 d=1 t=5451
shi shi 	試試	c=3 d=1 t=8169
shi shi kan 	試試看	c=2 d=1 t=6225
shi shui 	是誰	c=1 d=1 t=5315
shi wan ge 	十萬個	c=1 d=1 t=7761
shi wu 	事務	c=1 d=1 t=8126
shi xia 	試下	c=4 d=2.89843 t=8147
shi xian 	實現	c=2 d=1 t=7742
shi yong 	使用	c=6 d=0.376831 t=8531
shi yong 	適用	c=0 d=0.1 t=1132
shi zai 	實在	c=1 d=1 t=537
shi zen me 	是怎麼	c=1 d=1 t=6528
shou 	收	c=1 d=0.924241 t=8531
shou bu dao 	收不到	c=1 d=1 t=5366
shou dao 	收到	c=2 d=1.00206 t=2838
shou ji 	手機	c=5 d=0.0496585 t=8531
shou ji 	收集	c=2 d=1.96079 t=6239
shou ye 	首頁	c=1 d=1 t=1621
shou yin tai 	收銀臺	c=2 d=1.92774 t=2692
shu 	數	c=1 d=1 t=7989
shu 	樹	c=1 d=1 t=4418
shu fu 	舒服	c=1 d=1 t=5940
shu ji 	書籍	c=2 d=1.956 t=7051
shu ju 	數據	c=26 d=2.44641 t=7782
shu ju ku 	數據庫	c=12 d=3.42164 t=7807
shu lian 	熟練	c=1 d=0.298197 t=8531
shu qian 	書籤	c=1 d=1 t=1338
shu ru 	輸入	c=5 d=0.266116 t=8531
shu ru fa 	輸入法	c=3 d=1 t=8531
shu yu 	屬於	c=1 d=1 t=1892
shu yu 	術語	c=1 d=1 t=1792
shu zhi 	數值	c=4 d=1.91176 t=6913
shu zi 	數字	c=1 d=1 t=6590
shu zu 	數組	c=1 d=1 t=2466
shua xin 	刷新	c=1 d=1 t=1920
shuang 	爽	c=3 d=1.17418 t=7533
shuang pin 	雙拼	c=3 d=2.75128 t=8531
shuang ren jian 	雙刃劍	c=1 d=0.249075 t=8531
shui 	水	c=2 d=1.03175 t=6245
shui 	誰	c=2 d=1 t=6471
shui bian 	水邊	c=0 d=0.1 t=2384
shui bian jie 	水邊街	c=1 d=1 t=2385
shui jiao 	睡覺	c=4 d=0.460704 t=8531
shui le 	睡了	c=1 d=0.474734 t=8531
shui mo 	水墨	c=0 d=0.1 t=3856
shui mo ping 	水墨屏	c=2 d=1.90032 t=3878
shun jian 	瞬間	c=2 d=1 t=5194
shun ying 	順應	c=1 d=0.358796 t=8531
shun zhe 	順着	c=1 d=1 t=550
shuo 	說	c=21 d=0.889275 t=8531
shuo bai 	說白	c=1 d=1 t=3406
shuo de 	說的	c=2 d=1 t=5968
shuo hua 	說話	c=1 d=1 t=5823
shuo le 	說了	c=2 d=1.00029 t=4208
shuo ming 	說明	c=1 d=1 t=6637
shuo qing chu 	說清楚	c=1 d=1 t=3922
shuo sha 	說啥	c=1 d=1 t=5573
shuo xia 	說下	c=2 d=1.15645 t=5150
si 	死	c=1 d=1 t=3069
si fa 	私發	c=1 d=1 t=5444
si ge ren 	四個人	c=1 d=1 t=1934
si hao 	絲毫	c=1 d=1 t=6343
si liao 	私聊	c=2 d=1.93707 t=4051
si qu huo lai 	死去活來	c=1 d=1 t=3424
si wei 	思維	c=1 d=0.316637 t=8531
sou gou 	搜狗	c=1 d=0.995012 t=8531
sou gou shu ru fa 	搜狗輸入法	c=1 d=0.121846 t=8531
su du 	速度	c=1 d=1 t=8428
suan 	算	c=1 d=1 t=8114
suan 	酸	c=3 d=1.04285 t=8113
suan fa 	算法	c=1 d=1 t=582
suan la 	算啦	c=1 d=1 t=5690
suan le 	算了	c=2 d=1.00403 t=3823
suan shi 	算是	c=1 d=1 t=1179
sui 	歲	c=1 d=1 t=801
sui bian 	隨便	c=0 d=0.1 t=2382
sui bian jie 	隨便接	c=1 d=1 t=2383
suo 	鎖	c=2 d=1.0133 t=7678
suo ha 	梭哈	c=1 d=1 t=7136
suo ran wu wei 	索然無味	c=3 d=1.86346 t=7086
suo shi 	所示	c=2 d=1.96079 t=1798
suo wei 	所謂	c=1 d=1 t=7698
suo xu 	所需	c=1 d=1 t=6928
suo yi 	所以	c=9 d=0.360629 t=8531
